"election_year","state","total_votes","percentage_votes_republican","percentage_votes_democracts","percentage_votes_third","adjusted_percentage_votes_republican","adjusted_percentage_votes_democrats"
1984,"KANSAS",1021991,0.66272207876586,0.325980365776215,0.0112975554579248,0.670294771115697,0.329705228884303
1984,"KENTUCKY",1369345,0.600069376234623,0.394012465813948,0.00591815795142933,0.60364182389452,0.39635817610548
1984,"LOUISIANA",1706822,0.607737069243307,0.381753926302801,0.0105090044538915,0.614191611625421,0.385808388374578
1984,"MAINE",553144,0.608340685246518,0.387810407416514,0.00384890733696831,0.610691179006016,0.389308820993984
1984,"MARYLAND",1675873,0.525050525905006,0.470163908601666,0.00478556549332796,0.527575271921446,0.472424728078554
1984,"MASSACHUSETTS",2559383,0.512207825089094,0.484337826734021,0.00345434817688482,0.513983302372594,0.486016697627406
1984,"MICHIGAN",3801658,0.592260271702505,0.402360759437067,0.00537896886042879,0.595463249981686,0.404536750018314
1984,"MINNESOTA",2084449,0.495384151878986,0.497188465632884,0.00742738248812996,0.49909109231805,0.50090890768195
1984,"MISSISSIPPI",941104,0.618823211887315,0.374232815926826,0.00694397218585831,0.623150350589416,0.376849649410584
1984,"MISSOURI",2122771,0.60024750667877,0.39975249332123,0,0.60024750667877,0.39975249332123
1984,"MONTANA",384377,0.604744820839957,0.381765818454278,0.0134893607057654,0.61301398763687,0.38698601236313
1984,"NEBRASKA",652090,0.705506908555568,0.288098268643899,0.00639482280053367,0.71004753673293,0.28995246326707
1984,"NEVADA",282717,0.667699501621763,0.324193451401932,0.00810704697630493,0.673156815547829,0.326843184452171
1984,"NEW HAMPSHIRE",388904,0.686673317836793,0.309451689877193,0.00387499228601403,0.689344522544057,0.310655477455943
1984,"NEW JERSEY",3217862,0.600905197301811,0.391975479371086,0.00711932332710352,0.605213910814963,0.394786089185037
1984,"NEW MEXICO",514370,0.597042984621965,0.392264323347007,0.0106926920310282,0.603495981291882,0.396504018708118
1984,"NEW YORK",6806810,0.49605013214707,0.440923868890126,0.0630259989628034,0.529417178702889,0.470582821297111
1984,"NORTH CAROLINA",2175361,0.618968989514844,0.378919636786722,0.00211137369843442,0.620278629498869,0.379721370501131
1984,"NORTH DAKOTA",308971,0.648397422411812,0.337989649514032,0.0136129280741558,0.657345823831477,0.342654176168523
1984,"OHIO",4563235,0.586986863486101,0.400031994845762,0.0129811416681367,0.594706837190683,0.405293162809317
1984,"OKLAHOMA",1255676,0.68610851843947,0.306671466206251,0.00722001535427929,0.69109825847699,0.30890174152301
1984,"OREGON",1226527,0.559058218856984,0.437396812300096,0.00354496884291989,0.561047113393374,0.438952886606626
1984,"PENNSYLVANIA",4844903,0.533410679223093,0.459891766666949,0.00669755410995844,0.537007314771217,0.462992685228784
1984,"RHODE ISLAND",410489,0.516652090555411,0.480173646553257,0.00317426289133205,0.518297302449253,0.481702697550747
1984,"SOUTH CAROLINA",968529,0.635540081918043,0.355651715126754,0.0088082029552032,0.641187794141238,0.358812205858762
1984,"SOUTH DAKOTA",317867,0.630033945014739,0.365287997810405,0.00467805717485615,0.632995132435679,0.367004867564321
1984,"TENNESSEE",1711993,0.578397224755008,0.415722494192441,0.00588028105255103,0.58181848094453,0.41818151905547
1984,"TEXAS",5397571,0.636106129961051,0.361139482926672,0.00275438711227699,0.637863051730134,0.362136948269866
1984,"UTAH",629656,0.745017914543814,0.246752194849251,0.00822989060693458,0.751200210096817,0.248799789903183
1984,"VERMONT",234561,0.579230988953833,0.408124112704158,0.0126448983420091,0.586649107277791,0.413350892722209
1984,"VIRGINIA",2146635,0.622871610683698,0.370929384827882,0.00619900448842025,0.626756879392198,0.373243120607802
1984,"WASHINGTON",1874910,0.560917590711021,0.425808172125595,0.0132742371633838,0.568463510163663,0.431536489836337
